"Facebook connect process aborted.", "Facebook connect process aborted."
"Sorry, Please try again.", "Sorry, Please try again."
"Your facebook account is already connected to the store accounts.", "Your facebook account is already connected to the store accounts."
"Your facebook account is now connected to the store accout.", "Your facebook account is now connected to the store accout."
"You have successfully logged in using your facebook account.", "You have successfully logged in using your facebook account."
"We have discovered you already have an account at our store. Your facebook account is now connected to the store account.", "We have discovered you already have an account at our store. Your facebook account is now connected to the store account."
"Sorry, could not retrieve your facebook first name. Please try again.", "Sorry, could not retrieve your facebook first name. Please try again."
"Sorry, could not retrieve your facebook last name. Please try again.", "Sorry, could not retrieve your facebook last name. Please try again."
"Your facebook account is now connected to our store.", "Your facebook account is now connected to our store."
"OR", "OR"
"Connect with Facebook", "Connect with Facebook"
"Facebook Connect", "Facebook Connect"
"Facebook Configurations", "Facebook Configurations"
"App Id", "App Id"
"App Secret", "App Secret"
"Language", "Language"
"Enable Login", "Enable Login"
"Block Title", "Block Title"
"Block Content", "Block Content"
"Facebook Login Button Text", "Facebook Login Button Text"
"Enable Fanbox", "Enable Fanbox"
"Facebook Page Id", "Facebook Page Id"
"Fanbox's Width", "Fanbox's Width"
"Fanbox's Height", "Fanbox's Height"
"Show Faces in Fanbox", "Show Faces in Fanbox"
"Show Stream in Fanbox", "Show Stream in Fanbox"
"Show Cover Photo in Fanbox", "Show Cover Photo in Fanbox"
"Facebook Comment for Product", "Facebook Comment for Product"
"Comment Box's Color Theme", "Comment Box's Color Theme"
"Comment Box's Width", "Comment Box's Width"
"Number of Post", "Number of Post"
"Width in pixels", "Width in pixels"
"Height in pixels", "Height in pixels"
"Comment Box will Show in Product View Page", "Comment Box will Show in Product View Page"